payment_id,invoice_id,customer_id,payment_date,amount_paid,method,status
PAY00000033,INV0000033,C10001,2023-11-01,36.75,ach,settled
PAY00000034,INV0000034,C10001,2024-01-10,49.0,wire,settled
PAY00000035,INV0000035,C10001,2024-01-02,49.0,card,settled
PAY00000036,INV0000036,C10001,2024-02-02,49.0,card,settled
PAY00000037,INV0000037,C10001,2024-03-08,44.1,ach,settled
PAY00000038,INV0000038,C10001,2024-04-01,49.0,ach,settled
PAY00000039,INV0000039,C10001,2024-05-01,41.65,card,settled
PAY00000040,INV0000040,C10001,2024-06-01,24.0,ach,settled
PAY00000041,INV0000041,C10001,2024-07-01,41.65,ach,settled
PAY00000042,INV0000042,C10001,2024-08-01,39.2,card,settled
PAY00000043,INV0000043,C10001,2024-09-02,39.2,wire,settled
PAY00000044,INV0000044,C10001,2024-10-02,41.65,wire,settled
PAY00000045,INV0000045,C10001,2024-11-01,39.0,card,settled
PAY00000046,INV0000046,C10001,2024-12-01,41.65,ach,settled
PAY00000047,INV0000047,C10001,2025-01-03,36.75,ach,settled
PAY00000048,INV0000048,C10001,2025-02-08,44.1,card,settled
PAY00000049,INV0000049,C10001,2025-03-01,49.0,ach,settled
PAY00000050,INV0000050,C10001,2025-04-01,24.0,wire,settled
PAY00000051,INV0000051,C10001,2025-05-06,44.1,card,settled
PAY00000052,INV0000052,C10001,2025-06-16,36.75,ach,settled
PAY00000053,INV0000053,C10001,2025-07-02,49.0,card,settled
PAY00000054,INV0000054,C10001,2025-08-06,49.0,card,settled
PAY00000055,INV0000055,C10001,2025-09-02,49.0,wire,settled
PAY00000056,INV0000056,C10002,2024-06-04,194.0,wire,settled
PAY00000057,INV0000057,C10002,2024-07-03,174.0,card,settled
PAY00000058,INV0000058,C10002,2024-08-01,194.0,card,settled
PAY00000059,INV0000059,C10002,,0.0,,failed
PAY00000060,INV0000060,C10002,2024-10-01,199.0,wire,settled
PAY00000061,INV0000061,C10002,2024-11-02,199.0,wire,settled
PAY00000062,INV0000062,C10002,2025-01-10,184.0,card,settled
PAY00000063,INV0000063,C10002,2025-01-01,184.0,wire,settled
PAY00000064,INV0000064,C10002,2025-01-04,24.0,wire,settled
PAY00000065,INV0000065,C10002,2025-03-13,49.0,card,settled
PAY00000066,INV0000066,C10002,2025-03-02,49.0,ach,settled
PAY00000067,INV0000067,C10002,2025-04-01,39.0,ach,settled
PAY00000068,INV0000068,C10002,2025-05-02,41.65,wire,settled
PAY00000069,INV0000069,C10002,2025-06-02,49.0,card,settled
PAY00000070,INV0000070,C10002,2025-07-01,34.0,ach,settled
PAY00000071,INV0000071,C10002,2025-08-01,39.2,wire,settled
PAY00000072,INV0000072,C10002,2025-09-06,49.0,ach,settled
PAY00000073,INV0000073,C10003,2024-05-01,189.0,wire,settled
PAY00000074,INV0000074,C10003,2024-06-01,199.0,card,settled
PAY00000075,INV0000075,C10003,2024-07-02,159.2,card,settled
PAY00000076,INV0000076,C10003,2024-08-02,199.0,card,settled
PAY00000077,INV0000077,C10003,2024-09-01,149.25,card,settled
PAY00000078,INV0000078,C10003,2024-10-02,169.15,wire,settled
PAY00000079,INV0000079,C10003,2024-11-01,159.2,card,settled
PAY00000080,INV0000080,C10003,2024-12-01,179.1,wire,settled
PAY00000081,INV0000081,C10003,2025-01-04,149.25,ach,settled
PAY00000082,INV0000082,C10003,2025-02-03,174.0,card,settled
PAY00000083,INV0000083,C10003,2025-03-01,199.0,ach,settled
PAY00000084,INV0000084,C10003,2025-04-01,194.0,card,settled
PAY00000085,INV0000085,C10003,2025-05-02,169.15,ach,settled
PAY00000086,INV0000086,C10003,2025-06-16,199.0,card,settled
PAY00000087,INV0000087,C10003,2025-07-01,169.15,ach,settled
PAY00000088,INV0000088,C10003,2025-08-02,179.1,wire,settled
PAY00000089,INV0000089,C10003,2025-09-03,169.15,card,settled
PAY00000090,INV0000090,C10004,2024-08-06,36.75,wire,settled
PAY00000091,INV0000091,C10004,2024-09-01,49.0,wire,settled
PAY00000092,INV0000092,C10004,2024-10-01,49.0,ach,settled
PAY00000093,INV0000093,C10004,2024-11-06,49.0,card,settled
PAY00000094,INV0000094,C10004,2024-12-11,49.0,wire,settled
PAY00000095,INV0000095,C10004,2025-01-02,49.0,ach,settled
PAY00000096,INV0000096,C10004,2025-02-01,49.0,wire,settled
PAY00000097,INV0000097,C10004,2025-03-03,49.0,card,settled
PAY00000098,INV0000098,C10004,2025-04-03,36.75,wire,settled
PAY00000099,INV0000099,C10004,2025-05-01,44.1,card,settled
PAY00000100,INV0000100,C10004,2025-06-01,49.0,ach,settled
PAY00000101,INV0000101,C10004,,0.0,,failed
PAY00000102,INV0000102,C10004,2025-08-08,49.0,wire,settled
PAY00000103,INV0000103,C10004,2025-09-01,24.0,card,settled
PAY00000104,INV0000104,C10005,2023-07-03,149.25,ach,settled
PAY00000105,INV0000105,C10005,2023-08-04,149.25,card,settled
PAY00000106,INV0000106,C10005,2023-09-01,199.0,card,settled
PAY00000107,INV0000107,C10005,2023-10-08,199.0,ach,settled
PAY00000108,INV0000108,C10005,2023-11-01,199.0,ach,settled
PAY00000109,INV0000109,C10005,2023-12-01,179.1,wire,settled
PAY00000110,INV0000110,C10005,,0.0,,failed
PAY00000111,INV0000111,C10005,2024-02-01,159.2,ach,settled
PAY00000112,INV0000112,C10005,2024-03-02,179.1,card,settled
PAY00000113,INV0000113,C10005,2024-04-01,174.0,card,settled
PAY00000114,INV0000114,C10005,2024-05-02,149.25,card,settled
PAY00000115,INV0000115,C10005,2024-06-01,159.2,wire,settled
PAY00000116,INV0000116,C10005,2024-07-04,179.1,wire,settled
PAY00000117,INV0000117,C10005,2024-08-01,169.15,wire,settled
PAY00000118,INV0000118,C10005,2024-09-02,179.1,ach,settled
PAY00000119,INV0000119,C10006,,0.0,,failed
PAY00000120,INV0000120,C10006,2025-08-11,809.1,card,settled
PAY00000121,INV0000121,C10006,2025-09-01,764.15,wire,settled
PAY00000122,INV0000122,C10007,2024-09-01,49.0,wire,settled
PAY00000123,INV0000123,C10007,2024-10-02,39.2,ach,settled
PAY00000124,INV0000124,C10007,2024-11-01,44.1,ach,settled
PAY00000125,INV0000125,C10007,2024-12-08,34.0,ach,settled
PAY00000126,INV0000126,C10007,2025-01-01,44.1,wire,settled
PAY00000127,INV0000127,C10007,2025-02-01,44.0,card,settled
PAY00000128,INV0000128,C10007,2025-03-11,49.0,card,settled
PAY00000129,INV0000129,C10007,2025-04-04,36.75,ach,settled
PAY00000130,INV0000130,C10007,2025-05-02,36.75,ach,settled
PAY00000131,INV0000131,C10007,2025-06-01,49.0,ach,settled
PAY00000132,INV0000132,C10007,2025-07-04,49.0,card,settled
PAY00000133,INV0000133,C10007,2025-08-01,34.0,wire,settled
PAY00000134,INV0000134,C10007,2025-09-02,49.0,wire,settled
PAY00000135,INV0000135,C10008,2023-12-01,49.0,ach,settled
PAY00000136,INV0000136,C10008,2024-01-02,36.75,ach,settled
PAY00000137,INV0000137,C10008,2024-02-04,44.0,wire,settled
PAY00000138,INV0000138,C10008,2024-03-04,49.0,ach,settled
PAY00000139,INV0000139,C10008,2024-04-01,49.0,card,settled
PAY00000140,INV0000140,C10008,2024-05-06,44.1,wire,settled
PAY00000141,INV0000141,C10008,2024-06-01,49.0,ach,settled
PAY00000142,INV0000142,C10008,2024-07-01,34.0,card,settled
PAY00000143,INV0000143,C10008,2024-08-04,44.1,card,settled
PAY00000144,INV0000144,C10008,2024-09-01,44.1,card,settled
PAY00000145,INV0000145,C10008,2024-10-11,49.0,ach,settled
PAY00000146,INV0000146,C10008,2024-11-03,36.75,card,settled
PAY00000147,INV0000147,C10008,2024-12-02,49.0,card,settled
PAY00000148,INV0000148,C10009,2023-07-01,36.75,wire,settled
PAY00000149,INV0000149,C10009,2023-08-03,39.0,wire,settled
PAY00000150,INV0000150,C10009,2023-09-02,44.0,ach,settled
PAY00000151,INV0000151,C10009,2023-10-02,39.2,wire,settled
PAY00000152,INV0000152,C10009,2023-11-08,39.2,ach,settled
PAY00000153,INV0000153,C10009,2023-12-01,34.0,card,settled
PAY00000154,INV0000154,C10009,2024-01-04,41.65,card,settled
PAY00000155,INV0000155,C10009,2024-02-02,49.0,card,settled
PAY00000156,INV0000156,C10009,2024-03-04,49.0,ach,settled
PAY00000157,INV0000157,C10009,2024-04-01,39.0,ach,settled
PAY00000158,INV0000158,C10009,,0.0,,failed
PAY00000159,INV0000159,C10009,2024-06-01,39.2,card,settled
PAY00000160,INV0000160,C10009,2024-08-10,39.0,wire,settled
PAY00000161,INV0000161,C10009,2024-08-01,49.0,wire,settled
PAY00000162,INV0000162,C10009,2024-09-08,44.1,card,settled
PAY00000163,INV0000163,C10009,2024-10-06,49.0,ach,settled
PAY00000164,INV0000164,C10009,2024-11-01,49.0,ach,settled
PAY00000165,INV0000165,C10009,2024-12-11,44.1,ach,settled
PAY00000166,INV0000166,C10009,2025-01-03,49.0,card,settled
PAY00000167,INV0000167,C10009,2025-02-04,49.0,card,settled
PAY00000168,INV0000168,C10009,2025-03-04,39.0,card,settled
PAY00000169,INV0000169,C10009,2025-04-01,41.65,ach,settled
PAY00000170,INV0000170,C10009,2025-05-26,34.0,wire,settled
PAY00000171,INV0000171,C10009,2025-06-08,49.0,card,settled
PAY00000172,INV0000172,C10009,2025-07-01,34.0,card,settled
PAY00000173,INV0000173,C10009,2025-08-04,49.0,ach,settled
PAY00000174,INV0000174,C10009,2025-09-01,41.65,card,settled
PAY00000175,INV0000175,C10010,,0.0,,failed
PAY00000176,INV0000176,C10010,2024-03-01,44.1,wire,settled
PAY00000177,INV0000177,C10010,2024-04-01,39.0,card,settled
PAY00000178,INV0000178,C10010,2024-05-01,36.75,wire,settled
PAY00000179,INV0000179,C10011,2024-06-06,169.15,wire,settled
PAY00000180,INV0000180,C10011,2024-07-06,179.1,card,settled
PAY00000181,INV0000181,C10011,2024-08-02,199.0,ach,settled
PAY00000182,INV0000182,C10011,2024-09-01,174.0,card,settled
PAY00000183,INV0000183,C10011,2024-10-04,179.1,ach,settled
PAY00000184,INV0000184,C10011,2024-11-01,189.0,wire,settled
PAY00000185,INV0000185,C10011,2024-12-11,194.0,wire,settled
PAY00000186,INV0000186,C10012,2024-08-02,49.0,ach,settled
PAY00000187,INV0000187,C10012,2024-09-03,34.0,ach,settled
PAY00000188,INV0000188,C10012,2024-10-01,39.2,ach,settled
PAY00000189,INV0000189,C10012,2024-11-04,49.0,ach,settled
PAY00000190,INV0000190,C10012,2024-12-06,34.0,ach,settled
PAY00000191,INV0000191,C10012,2025-01-01,44.1,ach,settled
PAY00000192,INV0000192,C10012,2025-02-01,39.0,ach,settled
PAY00000193,INV0000193,C10012,2025-02-01,874.0,card,settled
PAY00000194,INV0000194,C10012,2025-03-03,899.0,ach,settled
PAY00000195,INV0000195,C10012,2025-04-02,899.0,ach,settled
PAY00000196,INV0000196,C10012,2025-05-08,899.0,card,settled
PAY00000197,INV0000197,C10012,2025-06-01,719.2,ach,settled
PAY00000198,INV0000198,C10012,2025-07-08,899.0,card,settled
PAY00000199,INV0000199,C10012,2025-08-06,899.0,card,settled
PAY00000200,INV0000200,C10012,2025-09-02,889.0,wire,settled
PAY00000201,INV0000201,C10013,2023-12-01,44.1,wire,settled
PAY00000202,INV0000202,C10013,2024-01-08,34.0,wire,settled
PAY00000203,INV0000203,C10013,2024-02-02,39.0,card,settled
PAY00000204,INV0000204,C10013,2024-03-04,39.2,card,settled
PAY00000205,INV0000205,C10013,2024-04-02,39.0,card,settled
PAY00000206,INV0000206,C10013,2024-05-01,49.0,ach,settled
PAY00000207,INV0000207,C10013,2024-06-08,41.65,ach,settled
PAY00000208,INV0000208,C10013,2024-07-01,49.0,card,settled
PAY00000209,INV0000209,C10013,2024-08-01,39.2,card,settled
PAY00000210,INV0000210,C10013,2024-09-01,24.0,card,settled
PAY00000211,INV0000211,C10013,2024-10-02,39.0,wire,settled
PAY00000212,INV0000212,C10013,2024-11-04,49.0,wire,settled
PAY00000213,INV0000213,C10013,,0.0,,failed
PAY00000214,INV0000214,C10013,2025-01-08,41.65,wire,settled
PAY00000215,INV0000215,C10013,2025-02-08,49.0,card,settled
PAY00000216,INV0000216,C10013,2025-03-01,41.65,ach,settled
PAY00000217,INV0000217,C10013,2025-04-01,44.1,card,settled
PAY00000218,INV0000218,C10013,2025-05-02,49.0,wire,settled
PAY00000219,INV0000219,C10013,2025-06-06,49.0,card,settled
PAY00000220,INV0000220,C10013,2025-07-02,44.0,wire,settled
PAY00000221,INV0000221,C10013,2025-08-08,44.1,ach,settled
PAY00000222,INV0000222,C10013,2025-09-01,24.0,wire,settled
PAY00000223,INV0000223,C10014,2024-01-11,34.0,wire,settled
PAY00000224,INV0000224,C10014,2024-02-04,39.2,wire,settled
PAY00000225,INV0000225,C10014,2024-03-08,49.0,ach,settled
PAY00000226,INV0000226,C10014,2024-04-03,39.2,ach,settled
PAY00000227,INV0000227,C10014,,0.0,,failed
PAY00000228,INV0000228,C10014,2024-06-03,49.0,card,settled
PAY00000229,INV0000229,C10014,2024-07-01,49.0,wire,settled
PAY00000230,INV0000230,C10014,2024-08-01,36.75,card,settled
PAY00000231,INV0000231,C10014,2024-09-02,36.75,card,settled
PAY00000232,INV0000232,C10014,2024-10-02,36.75,card,settled
PAY00000233,INV0000233,C10014,2024-11-01,49.0,card,settled
PAY00000234,INV0000234,C10014,2024-12-03,36.75,ach,settled
PAY00000235,INV0000235,C10014,2025-01-16,49.0,ach,settled
PAY00000236,INV0000236,C10014,2025-02-06,44.0,card,settled
PAY00000237,INV0000237,C10014,2025-03-02,39.0,card,settled
PAY00000238,INV0000238,C10014,2025-04-01,34.0,wire,settled
PAY00000239,INV0000239,C10014,2025-05-03,44.0,card,settled
PAY00000240,INV0000240,C10014,2025-06-02,24.0,wire,settled
PAY00000241,INV0000241,C10014,2025-07-16,49.0,card,settled
PAY00000242,INV0000242,C10014,2025-08-08,49.0,wire,settled
PAY00000243,INV0000243,C10014,2025-09-03,44.0,card,settled
PAY00000244,INV0000244,C10015,2024-07-16,199.0,ach,settled
PAY00000245,INV0000245,C10015,2024-08-04,169.15,wire,settled
PAY00000246,INV0000246,C10015,2024-09-01,189.0,card,settled
PAY00000247,INV0000247,C10015,2024-10-26,159.2,card,settled
PAY00000248,INV0000248,C10015,2024-11-03,159.2,ach,settled
PAY00000249,INV0000249,C10015,2024-12-03,199.0,ach,settled
PAY00000250,INV0000250,C10015,2025-01-01,174.0,card,settled
PAY00000251,INV0000251,C10015,2025-02-03,184.0,wire,settled
PAY00000252,INV0000252,C10016,2024-12-02,889.0,ach,settled
PAY00000253,INV0000253,C10016,2025-01-03,809.1,card,settled
PAY00000254,INV0000254,C10016,2025-02-01,899.0,ach,settled
PAY00000255,INV0000255,C10016,2025-03-01,899.0,wire,settled
PAY00000256,INV0000256,C10016,2025-04-02,719.2,ach,settled
PAY00000257,INV0000257,C10016,2025-05-03,899.0,ach,settled
PAY00000258,INV0000258,C10016,2025-06-01,899.0,wire,settled
PAY00000259,INV0000259,C10016,2025-07-01,899.0,wire,settled
PAY00000260,INV0000260,C10016,2025-08-11,674.25,wire,settled
PAY00000261,INV0000261,C10016,2025-09-04,894.0,ach,settled
PAY00000262,INV0000262,C10017,2025-06-01,174.0,wire,settled
PAY00000263,INV0000263,C10017,2025-07-04,159.2,ach,settled
PAY00000264,INV0000264,C10017,2025-08-01,169.15,ach,settled
PAY00000265,INV0000265,C10017,2025-09-01,179.1,ach,settled
PAY00000266,INV0000266,C10018,2023-06-01,49.0,card,settled
PAY00000267,INV0000267,C10018,2023-07-02,44.0,ach,settled
PAY00000268,INV0000268,C10018,2023-08-02,34.0,ach,settled
PAY00000269,INV0000269,C10018,2023-09-01,34.0,wire,settled
PAY00000270,INV0000270,C10018,2023-10-01,49.0,wire,settled
PAY00000271,INV0000271,C10018,2023-11-08,49.0,card,settled
PAY00000272,INV0000272,C10018,,0.0,,failed
PAY00000273,INV0000273,C10018,2024-01-01,36.75,ach,settled
PAY00000274,INV0000274,C10018,2024-02-08,34.0,card,settled
PAY00000275,INV0000275,C10018,2024-03-01,49.0,ach,settled
PAY00000276,INV0000276,C10018,2024-04-06,49.0,wire,settled
PAY00000277,INV0000277,C10018,2024-05-08,44.0,card,settled
PAY00000278,INV0000278,C10018,2024-06-03,49.0,card,settled
PAY00000279,INV0000279,C10018,2024-07-01,34.0,ach,settled
PAY00000280,INV0000280,C10018,2024-08-01,49.0,wire,settled
PAY00000281,INV0000281,C10018,2024-09-11,41.65,ach,settled
PAY00000282,INV0000282,C10018,2024-10-01,34.0,wire,settled
PAY00000283,INV0000283,C10018,2024-11-04,49.0,card,settled
PAY00000284,INV0000284,C10018,2024-12-02,36.75,card,settled
PAY00000285,INV0000285,C10018,2025-01-01,49.0,card,settled
PAY00000286,INV0000286,C10018,2025-02-01,49.0,wire,settled
PAY00000287,INV0000287,C10018,2025-03-21,49.0,ach,settled
PAY00000288,INV0000288,C10018,2025-04-06,49.0,card,settled
PAY00000289,INV0000289,C10018,2025-05-11,39.0,wire,settled
PAY00000290,INV0000290,C10018,2025-06-03,36.75,ach,settled
PAY00000291,INV0000291,C10018,2025-07-01,49.0,card,settled
PAY00000292,INV0000292,C10018,2025-08-04,34.0,wire,settled
PAY00000293,INV0000293,C10018,2025-09-04,24.0,wire,settled
PAY00000294,INV0000294,C10019,2023-03-04,874.0,card,settled
PAY00000295,INV0000295,C10019,2023-04-02,899.0,card,settled
PAY00000296,INV0000296,C10019,2023-05-02,899.0,card,settled
PAY00000297,INV0000297,C10019,2023-06-01,894.0,ach,settled
PAY00000298,INV0000298,C10019,2023-07-02,899.0,card,settled
PAY00000299,INV0000299,C10019,2023-08-01,899.0,card,settled
PAY00000300,INV0000300,C10019,2023-09-11,899.0,card,settled
PAY00000301,INV0000301,C10019,2023-10-04,889.0,card,settled
PAY00000302,INV0000302,C10019,2023-11-08,764.15,wire,settled
PAY00000303,INV0000303,C10019,2023-12-04,874.0,wire,settled
PAY00000304,INV0000304,C10019,2024-01-02,899.0,wire,settled
PAY00000305,INV0000305,C10019,2024-02-01,809.1,ach,settled
PAY00000306,INV0000306,C10020,2024-04-10,44.0,wire,settled
PAY00000307,INV0000307,C10020,2024-04-01,44.1,ach,settled
PAY00000308,INV0000308,C10020,2024-05-11,36.75,card,settled
PAY00000309,INV0000309,C10020,2024-06-11,24.0,card,settled
PAY00000310,INV0000310,C10020,2024-07-01,49.0,card,settled
PAY00000311,INV0000311,C10020,2024-08-04,41.65,wire,settled
PAY00000312,INV0000312,C10020,2024-09-02,49.0,card,settled
PAY00000313,INV0000313,C10020,2024-10-01,39.2,wire,settled
PAY00000314,INV0000314,C10020,2024-11-01,49.0,ach,settled
PAY00000315,INV0000315,C10020,2024-12-02,24.0,wire,settled
PAY00000316,INV0000316,C10020,2025-01-04,34.0,ach,settled
PAY00000317,INV0000317,C10020,2025-02-04,39.0,card,settled
PAY00000318,INV0000318,C10020,2025-03-01,44.0,card,settled
PAY00000319,INV0000319,C10020,2025-04-02,41.65,wire,settled
PAY00000320,INV0000320,C10020,2025-05-01,49.0,card,settled
PAY00000321,INV0000321,C10020,2025-06-08,34.0,card,settled
PAY00000322,INV0000322,C10020,2025-07-01,39.2,wire,settled
PAY00000323,INV0000323,C10020,2025-08-01,49.0,ach,settled
PAY00000324,INV0000324,C10020,2025-09-01,24.0,ach,settled
PAY00000325,INV0000325,C10021,2025-06-02,894.0,card,settled
PAY00000326,INV0000326,C10021,,0.0,,failed
PAY00000327,INV0000327,C10021,2025-08-02,884.0,card,settled
PAY00000328,INV0000328,C10021,2025-09-01,809.1,wire,settled
PAY00000329,INV0000329,C10022,2024-01-01,49.0,card,settled
PAY00000330,INV0000330,C10022,2024-02-01,49.0,card,settled
PAY00000331,INV0000331,C10022,2024-03-01,49.0,card,settled
PAY00000332,INV0000332,C10022,2024-04-01,39.0,ach,settled
PAY00000333,INV0000333,C10022,2024-05-02,49.0,wire,settled
PAY00000334,INV0000334,C10022,2024-06-04,49.0,card,settled
PAY00000335,INV0000335,C10022,2024-07-06,49.0,card,settled
PAY00000336,INV0000336,C10022,2024-08-16,44.0,wire,settled
PAY00000337,INV0000337,C10022,2024-09-01,49.0,wire,settled
PAY00000338,INV0000338,C10022,2024-10-03,49.0,card,settled
PAY00000339,INV0000339,C10022,2024-11-02,34.0,card,settled
PAY00000340,INV0000340,C10022,2024-12-01,44.0,wire,settled
PAY00000341,INV0000341,C10022,2025-01-01,44.1,card,settled
PAY00000342,INV0000342,C10022,2025-02-06,49.0,card,settled
PAY00000343,INV0000343,C10022,,0.0,,failed
PAY00000344,INV0000344,C10022,2025-04-01,49.0,card,settled
PAY00000345,INV0000345,C10022,2025-05-06,44.0,wire,settled
PAY00000346,INV0000346,C10022,2025-06-11,34.0,ach,settled
PAY00000347,INV0000347,C10022,2025-07-03,49.0,card,settled
PAY00000348,INV0000348,C10022,2025-08-03,49.0,wire,settled
PAY00000349,INV0000349,C10022,2025-09-02,49.0,ach,settled
PAY00000350,INV0000350,C10023,2025-07-02,39.2,ach,settled
PAY00000351,INV0000351,C10023,2025-08-03,44.1,ach,settled
PAY00000352,INV0000352,C10023,2025-09-02,39.2,card,settled
PAY00000353,INV0000353,C10024,,0.0,,failed
PAY00000354,INV0000354,C10024,2024-06-08,149.25,ach,settled
PAY00000355,INV0000355,C10024,2024-07-02,194.0,ach,settled
PAY00000356,INV0000356,C10024,2024-08-01,199.0,ach,settled
PAY00000357,INV0000357,C10024,2024-09-06,194.0,ach,settled
PAY00000358,INV0000358,C10024,2024-10-01,179.1,wire,settled
PAY00000359,INV0000359,C10024,2024-11-08,189.0,wire,settled
PAY00000360,INV0000360,C10024,2024-12-02,199.0,wire,settled
PAY00000361,INV0000361,C10024,2025-01-06,169.15,ach,settled
PAY00000362,INV0000362,C10024,2025-02-03,199.0,wire,settled
PAY00000363,INV0000363,C10024,2025-03-02,199.0,ach,settled
PAY00000364,INV0000364,C10024,2025-04-01,199.0,card,settled
PAY00000365,INV0000365,C10024,2025-05-04,149.25,card,settled
PAY00000366,INV0000366,C10024,2025-06-21,169.15,ach,settled
PAY00000367,INV0000367,C10024,2025-07-02,184.0,wire,settled
PAY00000368,INV0000368,C10024,2025-08-01,169.15,ach,settled
PAY00000369,INV0000369,C10024,2025-09-01,199.0,wire,settled
PAY00000370,INV0000370,C10025,2023-03-02,199.0,ach,settled
PAY00000371,INV0000371,C10025,2023-04-03,199.0,card,settled
PAY00000372,INV0000372,C10025,2023-05-01,194.0,ach,settled
PAY00000373,INV0000373,C10025,2023-06-04,194.0,wire,settled
PAY00000374,INV0000374,C10025,2023-07-03,159.2,card,settled
PAY00000375,INV0000375,C10025,2023-08-03,149.25,wire,settled
PAY00000376,INV0000376,C10025,2023-09-02,199.0,ach,settled
PAY00000377,INV0000377,C10025,2023-10-04,194.0,ach,settled
PAY00000378,INV0000378,C10025,2023-11-04,199.0,ach,settled
PAY00000379,INV0000379,C10025,2023-12-01,149.25,wire,settled
PAY00000380,INV0000380,C10025,2024-01-03,189.0,ach,settled
PAY00000381,INV0000381,C10025,2024-02-16,189.0,ach,settled
PAY00000382,INV0000382,C10025,2024-03-03,199.0,wire,settled
PAY00000383,INV0000383,C10025,2024-04-06,194.0,ach,settled
PAY00000384,INV0000384,C10025,2024-05-01,184.0,wire,settled
PAY00000385,INV0000385,C10025,,0.0,,failed
PAY00000386,INV0000386,C10025,2024-07-01,159.2,card,settled
PAY00000387,INV0000387,C10025,2024-08-01,149.25,wire,settled
PAY00000388,INV0000388,C10025,2024-09-02,169.15,card,settled
PAY00000389,INV0000389,C10025,2024-10-02,149.25,wire,settled
PAY00000390,INV0000390,C10025,2024-11-01,189.0,wire,settled
PAY00000391,INV0000391,C10025,2024-12-03,199.0,ach,settled
PAY00000392,INV0000392,C10025,2025-01-02,169.15,wire,settled
PAY00000393,INV0000393,C10025,,0.0,,failed
PAY00000394,INV0000394,C10025,2025-03-03,199.0,wire,settled
PAY00000395,INV0000395,C10025,2025-04-01,159.2,card,settled
PAY00000396,INV0000396,C10025,2025-05-04,199.0,ach,settled
PAY00000397,INV0000397,C10025,2025-06-01,199.0,ach,settled
PAY00000398,INV0000398,C10025,2025-07-06,194.0,card,settled
PAY00000399,INV0000399,C10025,2025-08-01,194.0,card,settled
PAY00000400,INV0000400,C10025,2025-09-08,169.15,card,settled
PAY00000401,INV0000401,C10026,2025-04-03,159.2,ach,settled
PAY00000402,INV0000402,C10026,2025-05-03,169.15,card,settled
PAY00000403,INV0000403,C10026,2025-06-01,194.0,ach,settled
PAY00000404,INV0000404,C10026,2025-07-06,199.0,ach,settled
PAY00000405,INV0000405,C10026,2025-08-01,179.1,card,settled
PAY00000406,INV0000406,C10026,2025-09-01,149.25,wire,settled
PAY00000407,INV0000407,C10027,2023-09-03,49.0,wire,settled
PAY00000408,INV0000408,C10027,2023-10-03,34.0,ach,settled
PAY00000409,INV0000409,C10027,2023-11-01,49.0,card,settled
PAY00000410,INV0000410,C10027,2023-12-04,36.75,card,settled
PAY00000411,INV0000411,C10027,2024-01-01,39.0,ach,settled
PAY00000412,INV0000412,C10027,2024-02-02,24.0,card,settled
PAY00000413,INV0000413,C10027,2024-03-01,39.0,wire,settled
PAY00000414,INV0000414,C10027,2024-03-01,899.0,wire,settled
PAY00000415,INV0000415,C10027,2024-04-03,899.0,ach,settled
PAY00000416,INV0000416,C10027,2024-05-01,719.2,ach,settled
PAY00000417,INV0000417,C10027,2024-06-03,894.0,ach,settled
