invoice_id,subscription_id,customer_id,invoice_date,amount,discount_type,discount_value,net_amount,currency
INV0000077,S000005,C10003,2024-09-01,199.0,PERCENT,49.75,149.25,USD
INV0000078,S000005,C10003,2024-10-01,199.0,PERCENT,29.85,169.15,USD
INV0000079,S000005,C10003,2024-11-01,199.0,PERCENT,39.8,159.2,USD
INV0000080,S000005,C10003,2024-12-01,199.0,PERCENT,19.9,179.1,USD
INV0000081,S000005,C10003,2025-01-01,199.0,PERCENT,49.75,149.25,USD
INV0000082,S000005,C10003,2025-02-01,199.0,AMOUNT,25.0,174.0,USD
INV0000083,S000005,C10003,2025-03-01,199.0,,0.0,199.0,USD
INV0000084,S000005,C10003,2025-04-01,199.0,AMOUNT,5.0,194.0,USD
INV0000085,S000005,C10003,2025-05-01,199.0,PERCENT,29.85,169.15,USD
INV0000086,S000005,C10003,2025-06-01,199.0,,0.0,199.0,USD
INV0000087,S000005,C10003,2025-07-01,199.0,PERCENT,29.85,169.15,USD
INV0000088,S000005,C10003,2025-08-01,199.0,PERCENT,19.9,179.1,USD
INV0000089,S000005,C10003,2025-09-01,199.0,PERCENT,29.85,169.15,USD
INV0000090,S000006,C10004,2024-08-01,49.0,PERCENT,12.25,36.75,USD
INV0000091,S000006,C10004,2024-09-01,49.0,,0.0,49.0,USD
INV0000092,S000006,C10004,2024-10-01,49.0,,0.0,49.0,USD
INV0000093,S000006,C10004,2024-11-01,49.0,,0.0,49.0,USD
INV0000094,S000006,C10004,2024-12-01,49.0,,0.0,49.0,USD
INV0000095,S000006,C10004,2025-01-01,49.0,,0.0,49.0,USD
INV0000096,S000006,C10004,2025-02-01,49.0,,0.0,49.0,USD
INV0000097,S000006,C10004,2025-03-01,49.0,,0.0,49.0,USD
INV0000098,S000006,C10004,2025-04-01,49.0,PERCENT,12.25,36.75,USD
INV0000099,S000006,C10004,2025-05-01,49.0,PERCENT,4.9,44.1,USD
INV0000100,S000006,C10004,2025-06-01,49.0,,0.0,49.0,USD
INV0000101,S000006,C10004,2025-07-01,49.0,,0.0,49.0,USD
INV0000102,S000006,C10004,2025-08-01,49.0,,0.0,49.0,USD
INV0000103,S000006,C10004,2025-09-01,49.0,AMOUNT,25.0,24.0,USD
INV0000104,S000007,C10005,2023-07-01,199.0,PERCENT,49.75,149.25,USD
INV0000105,S000007,C10005,2023-08-01,199.0,PERCENT,49.75,149.25,USD
INV0000106,S000007,C10005,2023-09-01,199.0,,0.0,199.0,USD
INV0000107,S000007,C10005,2023-10-01,199.0,,0.0,199.0,USD
INV0000108,S000007,C10005,2023-11-01,199.0,,0.0,199.0,USD
INV0000109,S000007,C10005,2023-12-01,199.0,PERCENT,19.9,179.1,USD
INV0000110,S000007,C10005,2024-01-01,199.0,,0.0,199.0,USD
INV0000111,S000007,C10005,2024-02-01,199.0,PERCENT,39.8,159.2,USD
INV0000112,S000007,C10005,2024-03-01,199.0,PERCENT,19.9,179.1,USD
INV0000113,S000007,C10005,2024-04-01,199.0,AMOUNT,25.0,174.0,USD
INV0000114,S000007,C10005,2024-05-01,199.0,PERCENT,49.75,149.25,USD
INV0000115,S000007,C10005,2024-06-01,199.0,PERCENT,39.8,159.2,USD
INV0000116,S000007,C10005,2024-07-01,199.0,PERCENT,19.9,179.1,USD
INV0000117,S000007,C10005,2024-08-01,199.0,PERCENT,29.85,169.15,USD
INV0000118,S000007,C10005,2024-09-01,199.0,PERCENT,19.9,179.1,USD
INV0000119,S000008,C10006,2025-07-01,899.0,,0.0,899.0,USD
INV0000120,S000008,C10006,2025-08-01,899.0,PERCENT,89.9,809.1,USD
INV0000121,S000008,C10006,2025-09-01,899.0,PERCENT,134.85,764.15,USD
INV0000122,S000009,C10007,2024-09-01,49.0,,0.0,49.0,USD
INV0000123,S000009,C10007,2024-10-01,49.0,PERCENT,9.8,39.2,USD
INV0000124,S000009,C10007,2024-11-01,49.0,PERCENT,4.9,44.1,USD
INV0000125,S000009,C10007,2024-12-01,49.0,AMOUNT,15.0,34.0,USD
INV0000126,S000009,C10007,2025-01-01,49.0,PERCENT,4.9,44.1,USD
INV0000127,S000009,C10007,2025-02-01,49.0,AMOUNT,5.0,44.0,USD
INV0000128,S000009,C10007,2025-03-01,49.0,,0.0,49.0,USD
INV0000129,S000009,C10007,2025-04-01,49.0,PERCENT,12.25,36.75,USD
INV0000130,S000009,C10007,2025-05-01,49.0,PERCENT,12.25,36.75,USD
INV0000131,S000009,C10007,2025-06-01,49.0,,0.0,49.0,USD
INV0000132,S000009,C10007,2025-07-01,49.0,,0.0,49.0,USD
INV0000133,S000009,C10007,2025-08-01,49.0,AMOUNT,15.0,34.0,USD
INV0000134,S000009,C10007,2025-09-01,49.0,,0.0,49.0,USD
INV0000135,S000010,C10008,2023-12-01,49.0,,0.0,49.0,USD
INV0000136,S000010,C10008,2024-01-01,49.0,PERCENT,12.25,36.75,USD
INV0000137,S000010,C10008,2024-02-01,49.0,AMOUNT,5.0,44.0,USD
INV0000138,S000010,C10008,2024-03-01,49.0,,0.0,49.0,USD
INV0000139,S000010,C10008,2024-04-01,49.0,,0.0,49.0,USD
INV0000140,S000010,C10008,2024-05-01,49.0,PERCENT,4.9,44.1,USD
INV0000141,S000010,C10008,2024-06-01,49.0,,0.0,49.0,USD
INV0000142,S000010,C10008,2024-07-01,49.0,AMOUNT,15.0,34.0,USD
INV0000143,S000010,C10008,2024-08-01,49.0,PERCENT,4.9,44.1,USD
INV0000144,S000010,C10008,2024-09-01,49.0,PERCENT,4.9,44.1,USD
INV0000145,S000010,C10008,2024-10-01,49.0,,0.0,49.0,USD
INV0000146,S000010,C10008,2024-11-01,49.0,PERCENT,12.25,36.75,USD
INV0000147,S000010,C10008,2024-12-01,49.0,,0.0,49.0,USD
INV0000148,S000011,C10009,2023-07-01,49.0,PERCENT,12.25,36.75,USD
INV0000149,S000011,C10009,2023-08-01,49.0,AMOUNT,10.0,39.0,USD
INV0000150,S000011,C10009,2023-09-01,49.0,AMOUNT,5.0,44.0,USD
INV0000151,S000011,C10009,2023-10-01,49.0,PERCENT,9.8,39.2,USD
INV0000152,S000011,C10009,2023-11-01,49.0,PERCENT,9.8,39.2,USD
INV0000153,S000011,C10009,2023-12-01,49.0,AMOUNT,15.0,34.0,USD
INV0000154,S000011,C10009,2024-01-01,49.0,PERCENT,7.35,41.65,USD
INV0000155,S000011,C10009,2024-02-01,49.0,,0.0,49.0,USD
INV0000156,S000011,C10009,2024-03-01,49.0,,0.0,49.0,USD
INV0000157,S000011,C10009,2024-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000158,S000011,C10009,2024-05-01,49.0,,0.0,49.0,USD
INV0000159,S000011,C10009,2024-06-01,49.0,PERCENT,9.8,39.2,USD
INV0000160,S000011,C10009,2024-07-01,49.0,AMOUNT,10.0,39.0,USD
INV0000161,S000011,C10009,2024-08-01,49.0,,0.0,49.0,USD
INV0000162,S000011,C10009,2024-09-01,49.0,PERCENT,4.9,44.1,USD
INV0000163,S000011,C10009,2024-10-01,49.0,,0.0,49.0,USD
INV0000164,S000011,C10009,2024-11-01,49.0,,0.0,49.0,USD
INV0000165,S000011,C10009,2024-12-01,49.0,PERCENT,4.9,44.1,USD
INV0000166,S000011,C10009,2025-01-01,49.0,,0.0,49.0,USD
INV0000167,S000011,C10009,2025-02-01,49.0,,0.0,49.0,USD
INV0000168,S000011,C10009,2025-03-01,49.0,AMOUNT,10.0,39.0,USD
INV0000169,S000011,C10009,2025-04-01,49.0,PERCENT,7.35,41.65,USD
INV0000170,S000011,C10009,2025-05-01,49.0,AMOUNT,15.0,34.0,USD
INV0000171,S000011,C10009,2025-06-01,49.0,,0.0,49.0,USD
INV0000172,S000011,C10009,2025-07-01,49.0,AMOUNT,15.0,34.0,USD
INV0000173,S000011,C10009,2025-08-01,49.0,,0.0,49.0,USD
INV0000174,S000011,C10009,2025-09-01,49.0,PERCENT,7.35,41.65,USD
INV0000175,S000012,C10010,2024-02-01,49.0,,0.0,49.0,USD
INV0000176,S000012,C10010,2024-03-01,49.0,PERCENT,4.9,44.1,USD
INV0000177,S000012,C10010,2024-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000178,S000012,C10010,2024-05-01,49.0,PERCENT,12.25,36.75,USD
INV0000179,S000013,C10011,2024-06-01,199.0,PERCENT,29.85,169.15,USD
INV0000180,S000013,C10011,2024-07-01,199.0,PERCENT,19.9,179.1,USD
INV0000181,S000013,C10011,2024-08-01,199.0,,0.0,199.0,USD
INV0000182,S000013,C10011,2024-09-01,199.0,AMOUNT,25.0,174.0,USD
INV0000183,S000013,C10011,2024-10-01,199.0,PERCENT,19.9,179.1,USD
INV0000184,S000013,C10011,2024-11-01,199.0,AMOUNT,10.0,189.0,USD
INV0000185,S000013,C10011,2024-12-01,199.0,AMOUNT,5.0,194.0,USD
INV0000186,S000014,C10012,2024-08-01,49.0,,0.0,49.0,USD
INV0000187,S000014,C10012,2024-09-01,49.0,AMOUNT,15.0,34.0,USD
INV0000188,S000014,C10012,2024-10-01,49.0,PERCENT,9.8,39.2,USD
INV0000189,S000014,C10012,2024-11-01,49.0,,0.0,49.0,USD
INV0000190,S000014,C10012,2024-12-01,49.0,AMOUNT,15.0,34.0,USD
INV0000191,S000014,C10012,2025-01-01,49.0,PERCENT,4.9,44.1,USD
INV0000192,S000014,C10012,2025-02-01,49.0,AMOUNT,10.0,39.0,USD
INV0000193,S000015,C10012,2025-02-01,899.0,AMOUNT,25.0,874.0,USD
INV0000194,S000015,C10012,2025-03-01,899.0,,0.0,899.0,USD
INV0000195,S000015,C10012,2025-04-01,899.0,,0.0,899.0,USD
INV0000196,S000015,C10012,2025-05-01,899.0,,0.0,899.0,USD
INV0000197,S000015,C10012,2025-06-01,899.0,PERCENT,179.8,719.2,USD
INV0000198,S000015,C10012,2025-07-01,899.0,,0.0,899.0,USD
INV0000199,S000015,C10012,2025-08-01,899.0,,0.0,899.0,USD
INV0000200,S000015,C10012,2025-09-01,899.0,AMOUNT,10.0,889.0,USD
INV0000201,S000016,C10013,2023-12-01,49.0,PERCENT,4.9,44.1,USD
INV0000202,S000016,C10013,2024-01-01,49.0,AMOUNT,15.0,34.0,USD
INV0000203,S000016,C10013,2024-02-01,49.0,AMOUNT,10.0,39.0,USD
INV0000204,S000016,C10013,2024-03-01,49.0,PERCENT,9.8,39.2,USD
INV0000205,S000016,C10013,2024-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000206,S000016,C10013,2024-05-01,49.0,,0.0,49.0,USD
INV0000207,S000016,C10013,2024-06-01,49.0,PERCENT,7.35,41.65,USD
INV0000208,S000016,C10013,2024-07-01,49.0,,0.0,49.0,USD
INV0000209,S000016,C10013,2024-08-01,49.0,PERCENT,9.8,39.2,USD
INV0000210,S000016,C10013,2024-09-01,49.0,AMOUNT,25.0,24.0,USD
INV0000211,S000016,C10013,2024-10-01,49.0,AMOUNT,10.0,39.0,USD
INV0000212,S000016,C10013,2024-11-01,49.0,,0.0,49.0,USD
INV0000213,S000016,C10013,2024-12-01,49.0,PERCENT,7.35,41.65,USD
INV0000214,S000016,C10013,2025-01-01,49.0,PERCENT,7.35,41.65,USD
INV0000215,S000016,C10013,2025-02-01,49.0,,0.0,49.0,USD
INV0000216,S000016,C10013,2025-03-01,49.0,PERCENT,7.35,41.65,USD
INV0000217,S000016,C10013,2025-04-01,49.0,PERCENT,4.9,44.1,USD
INV0000218,S000016,C10013,2025-05-01,49.0,,0.0,49.0,USD
INV0000219,S000016,C10013,2025-06-01,49.0,,0.0,49.0,USD
INV0000220,S000016,C10013,2025-07-01,49.0,AMOUNT,5.0,44.0,USD
INV0000221,S000016,C10013,2025-08-01,49.0,PERCENT,4.9,44.1,USD
INV0000222,S000016,C10013,2025-09-01,49.0,AMOUNT,25.0,24.0,USD
INV0000223,S000017,C10014,2024-01-01,49.0,AMOUNT,15.0,34.0,USD
INV0000224,S000017,C10014,2024-02-01,49.0,PERCENT,9.8,39.2,USD
INV0000225,S000017,C10014,2024-03-01,49.0,,0.0,49.0,USD
INV0000226,S000017,C10014,2024-04-01,49.0,PERCENT,9.8,39.2,USD
INV0000227,S000017,C10014,2024-05-01,49.0,AMOUNT,25.0,24.0,USD
INV0000228,S000017,C10014,2024-06-01,49.0,,0.0,49.0,USD
INV0000229,S000017,C10014,2024-07-01,49.0,,0.0,49.0,USD
INV0000230,S000017,C10014,2024-08-01,49.0,PERCENT,12.25,36.75,USD
INV0000231,S000017,C10014,2024-09-01,49.0,PERCENT,12.25,36.75,USD
INV0000232,S000017,C10014,2024-10-01,49.0,PERCENT,12.25,36.75,USD
INV0000233,S000017,C10014,2024-11-01,49.0,,0.0,49.0,USD
INV0000234,S000017,C10014,2024-12-01,49.0,PERCENT,12.25,36.75,USD
INV0000235,S000017,C10014,2025-01-01,49.0,,0.0,49.0,USD
INV0000236,S000017,C10014,2025-02-01,49.0,AMOUNT,5.0,44.0,USD
INV0000237,S000017,C10014,2025-03-01,49.0,AMOUNT,10.0,39.0,USD
INV0000238,S000017,C10014,2025-04-01,49.0,AMOUNT,15.0,34.0,USD
INV0000239,S000017,C10014,2025-05-01,49.0,AMOUNT,5.0,44.0,USD
INV0000240,S000017,C10014,2025-06-01,49.0,AMOUNT,25.0,24.0,USD
INV0000241,S000017,C10014,2025-07-01,49.0,,0.0,49.0,USD
INV0000242,S000017,C10014,2025-08-01,49.0,,0.0,49.0,USD
INV0000243,S000017,C10014,2025-09-01,49.0,AMOUNT,5.0,44.0,USD
INV0000244,S000018,C10015,2024-07-01,199.0,,0.0,199.0,USD
INV0000245,S000018,C10015,2024-08-01,199.0,PERCENT,29.85,169.15,USD
INV0000246,S000018,C10015,2024-09-01,199.0,AMOUNT,10.0,189.0,USD
INV0000247,S000018,C10015,2024-10-01,199.0,PERCENT,39.8,159.2,USD
INV0000248,S000018,C10015,2024-11-01,199.0,PERCENT,39.8,159.2,USD
INV0000249,S000018,C10015,2024-12-01,199.0,,0.0,199.0,USD
INV0000250,S000018,C10015,2025-01-01,199.0,AMOUNT,25.0,174.0,USD
INV0000251,S000018,C10015,2025-02-01,199.0,AMOUNT,15.0,184.0,USD
INV0000252,S000019,C10016,2024-12-01,899.0,AMOUNT,10.0,889.0,USD
INV0000253,S000019,C10016,2025-01-01,899.0,PERCENT,89.9,809.1,USD
INV0000254,S000019,C10016,2025-02-01,899.0,,0.0,899.0,USD
INV0000255,S000019,C10016,2025-03-01,899.0,,0.0,899.0,USD
INV0000256,S000019,C10016,2025-04-01,899.0,PERCENT,179.8,719.2,USD
INV0000257,S000019,C10016,2025-05-01,899.0,,0.0,899.0,USD
INV0000258,S000019,C10016,2025-06-01,899.0,,0.0,899.0,USD
INV0000259,S000019,C10016,2025-07-01,899.0,,0.0,899.0,USD
INV0000260,S000019,C10016,2025-08-01,899.0,PERCENT,224.75,674.25,USD
INV0000261,S000019,C10016,2025-09-01,899.0,AMOUNT,5.0,894.0,USD
INV0000262,S000020,C10017,2025-06-01,199.0,AMOUNT,25.0,174.0,USD
INV0000263,S000020,C10017,2025-07-01,199.0,PERCENT,39.8,159.2,USD
INV0000264,S000020,C10017,2025-08-01,199.0,PERCENT,29.85,169.15,USD
INV0000265,S000020,C10017,2025-09-01,199.0,PERCENT,19.9,179.1,USD
INV0000266,S000021,C10018,2023-06-01,49.0,,0.0,49.0,USD
INV0000267,S000021,C10018,2023-07-01,49.0,AMOUNT,5.0,44.0,USD
INV0000268,S000021,C10018,2023-08-01,49.0,AMOUNT,15.0,34.0,USD
INV0000269,S000021,C10018,2023-09-01,49.0,AMOUNT,15.0,34.0,USD
INV0000270,S000021,C10018,2023-10-01,49.0,,0.0,49.0,USD
INV0000271,S000021,C10018,2023-11-01,49.0,,0.0,49.0,USD
INV0000272,S000021,C10018,2023-12-01,49.0,,0.0,49.0,USD
INV0000273,S000021,C10018,2024-01-01,49.0,PERCENT,12.25,36.75,USD
INV0000274,S000021,C10018,2024-02-01,49.0,AMOUNT,15.0,34.0,USD
INV0000275,S000021,C10018,2024-03-01,49.0,,0.0,49.0,USD
INV0000276,S000021,C10018,2024-04-01,49.0,,0.0,49.0,USD
INV0000277,S000021,C10018,2024-05-01,49.0,AMOUNT,5.0,44.0,USD
INV0000278,S000021,C10018,2024-06-01,49.0,,0.0,49.0,USD
INV0000279,S000021,C10018,2024-07-01,49.0,AMOUNT,15.0,34.0,USD
INV0000280,S000021,C10018,2024-08-01,49.0,,0.0,49.0,USD
INV0000281,S000021,C10018,2024-09-01,49.0,PERCENT,7.35,41.65,USD
INV0000282,S000021,C10018,2024-10-01,49.0,AMOUNT,15.0,34.0,USD
INV0000283,S000021,C10018,2024-11-01,49.0,,0.0,49.0,USD
INV0000284,S000021,C10018,2024-12-01,49.0,PERCENT,12.25,36.75,USD
INV0000285,S000021,C10018,2025-01-01,49.0,,0.0,49.0,USD
INV0000286,S000021,C10018,2025-02-01,49.0,,0.0,49.0,USD
INV0000287,S000021,C10018,2025-03-01,49.0,,0.0,49.0,USD
INV0000288,S000021,C10018,2025-04-01,49.0,,0.0,49.0,USD
INV0000289,S000021,C10018,2025-05-01,49.0,AMOUNT,10.0,39.0,USD
INV0000290,S000021,C10018,2025-06-01,49.0,PERCENT,12.25,36.75,USD
INV0000291,S000021,C10018,2025-07-01,49.0,,0.0,49.0,USD
INV0000292,S000021,C10018,2025-08-01,49.0,AMOUNT,15.0,34.0,USD
INV0000293,S000021,C10018,2025-09-01,49.0,AMOUNT,25.0,24.0,USD
INV0000294,S000022,C10019,2023-03-01,899.0,AMOUNT,25.0,874.0,USD
INV0000295,S000022,C10019,2023-04-01,899.0,,0.0,899.0,USD
INV0000296,S000022,C10019,2023-05-01,899.0,,0.0,899.0,USD
INV0000297,S000022,C10019,2023-06-01,899.0,AMOUNT,5.0,894.0,USD
INV0000298,S000022,C10019,2023-07-01,899.0,,0.0,899.0,USD
INV0000299,S000022,C10019,2023-08-01,899.0,,0.0,899.0,USD
INV0000300,S000022,C10019,2023-09-01,899.0,,0.0,899.0,USD
INV0000301,S000022,C10019,2023-10-01,899.0,AMOUNT,10.0,889.0,USD
INV0000302,S000022,C10019,2023-11-01,899.0,PERCENT,134.85,764.15,USD
INV0000303,S000022,C10019,2023-12-01,899.0,AMOUNT,25.0,874.0,USD
INV0000304,S000022,C10019,2024-01-01,899.0,,0.0,899.0,USD
INV0000305,S000022,C10019,2024-02-01,899.0,PERCENT,89.9,809.1,USD
INV0000306,S000023,C10020,2024-03-01,49.0,AMOUNT,5.0,44.0,USD
INV0000307,S000023,C10020,2024-04-01,49.0,PERCENT,4.9,44.1,USD
INV0000308,S000023,C10020,2024-05-01,49.0,PERCENT,12.25,36.75,USD
INV0000309,S000023,C10020,2024-06-01,49.0,AMOUNT,25.0,24.0,USD
INV0000310,S000023,C10020,2024-07-01,49.0,,0.0,49.0,USD
INV0000311,S000023,C10020,2024-08-01,49.0,PERCENT,7.35,41.65,USD
INV0000312,S000023,C10020,2024-09-01,49.0,,0.0,49.0,USD
INV0000313,S000023,C10020,2024-10-01,49.0,PERCENT,9.8,39.2,USD
INV0000314,S000023,C10020,2024-11-01,49.0,,0.0,49.0,USD
INV0000315,S000023,C10020,2024-12-01,49.0,AMOUNT,25.0,24.0,USD
INV0000316,S000023,C10020,2025-01-01,49.0,AMOUNT,15.0,34.0,USD
INV0000317,S000023,C10020,2025-02-01,49.0,AMOUNT,10.0,39.0,USD
INV0000318,S000023,C10020,2025-03-01,49.0,AMOUNT,5.0,44.0,USD
INV0000319,S000023,C10020,2025-04-01,49.0,PERCENT,7.35,41.65,USD
INV0000320,S000023,C10020,2025-05-01,49.0,,0.0,49.0,USD
INV0000321,S000023,C10020,2025-06-01,49.0,AMOUNT,15.0,34.0,USD
INV0000322,S000023,C10020,2025-07-01,49.0,PERCENT,9.8,39.2,USD
INV0000323,S000023,C10020,2025-08-01,49.0,,0.0,49.0,USD
INV0000324,S000023,C10020,2025-09-01,49.0,AMOUNT,25.0,24.0,USD
INV0000325,S000024,C10021,2025-06-01,899.0,AMOUNT,5.0,894.0,USD
INV0000326,S000024,C10021,2025-07-01,899.0,PERCENT,134.85,764.15,USD
INV0000327,S000024,C10021,2025-08-01,899.0,AMOUNT,15.0,884.0,USD
INV0000328,S000024,C10021,2025-09-01,899.0,PERCENT,89.9,809.1,USD
INV0000329,S000025,C10022,2024-01-01,49.0,,0.0,49.0,USD
INV0000330,S000025,C10022,2024-02-01,49.0,,0.0,49.0,USD
INV0000331,S000025,C10022,2024-03-01,49.0,,0.0,49.0,USD
INV0000332,S000025,C10022,2024-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000333,S000025,C10022,2024-05-01,49.0,,0.0,49.0,USD
INV0000334,S000025,C10022,2024-06-01,49.0,,0.0,49.0,USD
INV0000335,S000025,C10022,2024-07-01,49.0,,0.0,49.0,USD
INV0000336,S000025,C10022,2024-08-01,49.0,AMOUNT,5.0,44.0,USD
INV0000337,S000025,C10022,2024-09-01,49.0,,0.0,49.0,USD
INV0000338,S000025,C10022,2024-10-01,49.0,,0.0,49.0,USD
INV0000339,S000025,C10022,2024-11-01,49.0,AMOUNT,15.0,34.0,USD
INV0000340,S000025,C10022,2024-12-01,49.0,AMOUNT,5.0,44.0,USD
INV0000341,S000025,C10022,2025-01-01,49.0,PERCENT,4.9,44.1,USD
INV0000342,S000025,C10022,2025-02-01,49.0,,0.0,49.0,USD
INV0000343,S000025,C10022,2025-03-01,49.0,,0.0,49.0,USD
INV0000344,S000025,C10022,2025-04-01,49.0,,0.0,49.0,USD
